name	type	id	expiration_type	expiration_custom_days	allocation_type	description	enabled	merchandising_syntax	report_suite
Product List Clicked Name (V75-Merch)	text_string	evar75	purchase	1	merchandising_last	Name of the Product List in which a Product was clicked	TRUE	product	sirooplive
Product Commission Level (V76)	text_string	evar76	page_view	1	merchandising_last	shows the Commission Level per sold product in percent	TRUE	product	sirooplive
PDP Attributes (V77)	text_string	evar77	page_view	1	most_recent_last	Attributes of the PDP: mc:[count of merchants]#lp:[lowest price]	TRUE		sirooplive
Custom eVar 78	text_string	evar78	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 79	text_string	evar79	visit	1	most_recent_last		FALSE		sirooplive
Email Job ID - ExactTarget (V80)	text_string	evar80	month	1	most_recent_last	The email Job ID in ExactTarget (Salesforce Marketing Cloud)	TRUE		sirooplive
depr. Feb 2018: Email Recipient ID - ExactTarget (V81)	text_string	evar81	never	1	most_recent_last	Not used anymore since Feb 2018: The email Recipient ID in ExactTarget (Salesforce Marketing Cloud) - either siroid or encrypted email	TRUE		sirooplive
Lifetime Devices Used (V82)	text_string	evar82	never	1	most_recent_last	Devices used by the Visitor according to Visitor Stitching via Tealium Audience Stream	TRUE		sirooplive
Lifetime Browsers Used (V83)	text_string	evar83	never	1	most_recent_last	Browsers used by the Visitor according to Visitor Stitching via Tealium Audience Stream	TRUE		sirooplive
User Lifetime Order Count (V84)	text_string	evar84	never	1	most_recent_last	Counts how many lifetime orders a user has. Enriched via Audience Stream	TRUE		sirooplive
Raw: Days Since Last Purchase (V85)	text_string	evar85	never	1	most_recent_last	Counts days since last order via Audience Stream Enrichment	TRUE		sirooplive
Custom eVar 86	text_string	evar86	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 87	text_string	evar87	visit	1	most_recent_last		FALSE		sirooplive
UTC Timestamp (V88)	text_string	evar88	page_view	1	most_recent_last	"UTC Timestamp  in Milliseconds (V88). JS generated. Example: ""2018-02-08T16:34:24.660Z"""	TRUE		sirooplive
Tealium Session ID (V89)	text_string	evar89	page_view	1	most_recent_last	The Tealium Session ID	TRUE		sirooplive
Day-Hour-Minutes (V90)	text_string	evar90	page_view	1	most_recent_last	Day-Hour-Minutes, e.g. 071504 (7th day of month, 15:04)	TRUE		sirooplive
DFA Data Connector (V91)	text_string	evar91	visit	1	most_recent_last	Automatically populated with DFA Tracking Code by nightly import (DFA Data Connector).	TRUE		sirooplive
DFA Data Connector View-Through	text_string	evar92	visit	1	most_recent_last		FALSE		sirooplive
DFA Data Connector View-Through Time Frame	text_string	evar93	visit	1	most_recent_last		FALSE		sirooplive
Siroop Platform (V94)	text_string	evar94	page_view	1	most_recent_last	beta, spryker, jobs or others	TRUE		sirooplive
User Agent (V95)	text_string	evar95	page_view	1	most_recent_last		TRUE		sirooplive
