id	name	description	type	default_metric	participation	serialization	polarity	visibility
event51	Unique Products (for non-Prod Dimensions, deprecated) (E51)	Number of Unique Product Concrete IDs bought. Use for Dimensions like Campaigns. Deprecated since May 9, 2017. Recommended using E52.	numeric	FALSE	disabled	always_record	positive	everywhere
event52	Unique Products (E52)	Number of Unique Product Concrete IDs bought. Can be used for Product Dimensions or others. Available since May 9, 2017.	numeric	FALSE	disabled	always_record	positive	everywhere
event53	Unique Merchants (E53)	Number of Unique Merchants in a basket. Allows to track mixed baskets where a user orders products from several merchants	numeric	FALSE	disabled	always_record	positive	everywhere
event54	Active Merchant SKUs (E54)	Number of Products of a Merchant that are in stock (have an amount > 0)	numeric	FALSE	disabled	always_record	positive	everywhere
event55	Merchant SKUs (E55)	Number of Products of a Merchant indepedent of stock status	numeric	FALSE	disabled	always_record	positive	everywhere
event56	Concrete Prod Detail View (E56) - once per Pageview	zählt einmal pro Seitenaufruf den Concrete PDP View für eine Concrete ID	numeric	FALSE	disabled	always_record	positive	everywhere
event57	Abstract Prod Detail View (E57) - once per Page	"zählt einmal pro Seitenaufruf den Abstract PDP View - bei Aufrufen von bereits konfigurierten Produkten wird auch gezählt. Kriterium: eec_action = ""detail"" AND has not been set yet on this page (ein Counter wird beim ersten Mal Zählen auf 1 gesetzt)"	numeric	FALSE	disabled	always_record	positive	everywhere
event58	Merchant ProdPDV (E58) - once per Page, ID & Merchant	"Hits mit Concrete ID, zählt einmal pro Seitenaufruf.
Anwendungsfall: Uninflated Views eines Concrete Products (zB pro Merchant)
Kriterium: eec_action = ""detail"" AND prod_cid exists AND E58 has not been set yet on this page for this merchant & cid combo"	numeric	FALSE	disabled	always_record	positive	everywhere
event59	Concrete Prod Detail View (E59)	zählt alle Hits mit Concrete ID - Anwendungsfall zB: Wie oft wird eine einzelne PDP konfiguriert, bevor das Produkt in den Warenkorb gelegt wird.	numeric	FALSE	disabled	always_record	positive	everywhere
event60	Abstract or Concrete Product Detail View (E60)	"zählt PDP Hits (analog zu GA, aber nicht mehrfach pro Merchant). Macht nur Sinn in once-per-Visit-Calc-Metriken
Kriterium: alle Hits mit eec_action = ""detail"""	numeric	FALSE	disabled	always_record	positive	everywhere
event61	Product View in List (E61)	Counts Product Views in Lists (available since Mid-April 2016, deactivated in June 2016)	disabled	FALSE	disabled	always_record	positive	everywhere
event62	Product List Click (E62) - since Jul 5/2017	Counts Clicks on Products in Lists (available since July 2017.)	counter	FALSE	disabled	always_record	positive	everywhere
event63	Search Filter Load (E63)	User loaded a page where one or more filters were open	counter	FALSE	disabled	always_record	positive	everywhere
event64	Search Filter Open (E64)		counter	FALSE	disabled	always_record	positive	everywhere
event65	Search Filter Close (E65)		counter	FALSE	disabled	always_record	negative	everywhere
event66	Search Filter Select (E66)		counter	FALSE	disabled	always_record	positive	everywhere
event67	Search Filter Deselect (E67)		counter	FALSE	disabled	always_record	positive	everywhere
event68	Search Filter Apply (E68)		counter	FALSE	disabled	always_record	positive	everywhere
event69	Custom 69		disabled	FALSE	disabled	always_record	positive	everywhere
event70	Spotwatch API Available = 1 (E70)		counter_no_subrelations	FALSE	disabled	always_record	positive	everywhere
event71	Visit during TV Spot (E71)		counter_no_subrelations	FALSE	disabled	record_once_per_visit	positive	everywhere
event72	Login Success (E72)	Counts successful logins (tracked on the page after the logout)	counter	FALSE	disabled	always_record	positive	everywhere
event73	Logout Success (E73)	Counts successful logouts (tracked on the page after the logout)	counter	FALSE	disabled	always_record	positive	everywhere
event74	Login Fail (E74)	Counts failed login attempts	counter	FALSE	disabled	always_record	positive	everywhere
event75	Registration Fail (E75)	Counts failed Registration Attempts (e.g. because user email already exists)	counter	FALSE	disabled	always_record	positive	everywhere
event76	Custom 76		disabled	FALSE	disabled	always_record	positive	everywhere
event77	PDP Video View (E77)	Product Video View on PDP	counter	FALSE	disabled	always_record	positive	everywhere
event78	PDP Image Click (E78)	Product Image Click on PDP	counter	FALSE	disabled	always_record	positive	everywhere
event79	Custom 79		disabled	FALSE	disabled	always_record	positive	everywhere
event80	Wishlist View (E80)	"User views wishlist page
"	counter	FALSE	disabled	always_record	positive	everywhere
event81	Wishlist Add (E81)	"User adds product to wishlist
"	counter	FALSE	disabled	always_record	positive	everywhere
